,Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC%ofSD,SSeff,AC.10,psrf
psiHJ,0.776314,0.892348,0.9776,0.885124161,0.05525654,NA,0.002046683,3.7,729,0.098741626,1.002288416
psiJS,0.240909,0.3486415,0.45211,0.349528037,0.055115126,NA,0.0024018,4.4,527,0.139495914,1.000285822
psiSA,0.0324549,0.0853466,0.156306,0.089590179,0.032388882,NA,0.002066832,6.4,246,0.297761519,1.002017717
"pJ[1,1]",0.00178095,0.497443,0.949442,0.498201839,0.287133844,NA,0.004444288,1.5,4174,0.00758217,1.000378747
"pJ[2,1]",0.656613,0.841541,0.973044,0.82727229,0.086275163,NA,0.001971243,2.3,1916,-0.002902392,1.001194853
"pJ[3,1]",4.01E-05,0.2624435,0.839833,0.325376099,0.253588748,NA,0.006999663,2.8,1313,0.024445499,1.00158891
"pJ[1,2]",0.0523362,0.1989745,0.395453,0.21408595,0.094445884,NA,0.002913429,3.1,1051,0.040691298,1.004730229
"pJ[2,2]",0.161995,0.4700395,0.845014,0.491283503,0.182072713,NA,0.007306308,4,621,0.104609892,0.999879842
"pJ[3,2]",0.232882,0.647345,0.999867,0.632957502,0.223316012,NA,0.00621665,2.8,1290,0.056870522,0.999823218
"pJ[1,3]",0.0210115,0.120572,0.28554,0.133262519,0.073124105,NA,0.001786566,2.4,1675,0.002148687,1.00061446
"pJ[2,3]",0.0348909,0.360056,0.875307,0.396759016,0.234176657,NA,0.00787436,3.4,884,0.105125778,1.000712788
"pJ[3,3]",0.0231863,0.3924,0.86425,0.424522832,0.232336362,NA,0.00686347,3,1146,0.035142938,1.007847318
"pJ[1,4]",0.477639,0.667925,0.856907,0.668269147,0.097544039,NA,0.003346805,3.4,849,0.081450911,1.004358061
"pJ[2,4]",0.00455017,0.423119,0.940105,0.447449431,0.284445877,NA,0.006723154,2.4,1790,0.0074419,1.003486643
"pJ[3,4]",0.0915715,0.4140425,0.858191,0.439999027,0.207240771,NA,0.006558732,3.2,998,0.01851002,0.999976674
"pJ[1,5]",0.257438,0.495507,0.740242,0.49924961,0.125000305,NA,0.003315516,2.7,1421,0.014473178,0.999781783
"pJ[2,5]",0.000262914,0.457701,0.938506,0.469298899,0.288366649,NA,0.005735562,2,2528,0.00861394,1.002601797
"pJ[3,5]",0.0593839,0.4389065,0.929902,0.467595602,0.247992758,NA,0.00757112,3.1,1073,-0.003464854,1.000148786
"pJ[1,6]",0.108395,0.3668665,0.700101,0.382812857,0.158737784,NA,0.003932624,2.5,1629,0.019797484,1.000900204
"pJ[2,6]",0.0533886,0.5130835,0.998069,0.505535636,0.28869073,NA,0.005351601,1.9,2910,0.017510086,1.002744505
"pJ[3,6]",1.82E-05,0.242804,0.795862,0.303736672,0.242257973,NA,0.006718221,2.8,1300,0.015364903,1.000497442
"pJ[1,7]",0.155844,0.520461,0.977115,0.533707218,0.228613146,NA,0.007071999,3.1,1045,0.055071595,1.000144079
"pJ[2,7]",0.0186511,0.4931165,0.958475,0.495486335,0.286740872,NA,0.005708543,2,2523,0.014134305,0.999918466
"pJ[3,7]",0.121995,0.5284545,0.995509,0.531596431,0.253996954,NA,0.006915926,2.7,1349,0.005355597,0.999799022
"pJ[1,8]",0.053111,0.506778,0.997366,0.500695217,0.290074354,NA,0.004586478,1.6,4000,0.027445916,1.001351825
"pJ[2,8]",0.00119784,0.5076595,0.950858,0.502361061,0.289258259,NA,0.004639755,1.6,3887,0.001099857,1.000279793
