ID,Sex,Cohort,Treatcode,Treatment,Cap_Year,Date,Recap,MOC,Area,Burrow_no,Old or new?,Wt (g),MCL_mm,Stage,Dead,Comments
1,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,82,72,J,,"FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS (0.084KG); FREQ 149.489, ATTACHED ON ANTERIOR CARAPACE; BILATERAL TOENAIL SPLAYING; TRANSPONDER PLACED IN LEFT INGUINAL AREA"
1,I,2005,headstart,headstart,2010,10-Sep-10,yes,trap,E,E56,,530,139,S,,FRESHENED NOTCHES;2005 YOY
1,I,2005,headstart,headstart,2012,13-May-12,yes,trap,E,E56,,840,164,S,,"Transmitter attached: frequency 165.368, transmitter # 174315, iButton attached 14 June 2012"
1,I,2005,headstart,headstart,2012,24-Sep-12,yes,trap,E,E56,,1173,,S,,"Old iButton failed; replaced with 5D0000002E07CF21 (starts logging 15 Oct 2012, every 120 minutes). Old transmitter 177836, new freq. 166.734. Tortoise released 1 Oct 2012, at 16:00."
1,I,2005,headstart,headstart,2013,8-Apr-13,yes,trap,E,E56,NA,1245,155,S,,Downloaded ibutton data (reset 4/9/13 @ midnight) and repaired antennae shealthing on transmitter.
3,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,84,72,J,,FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS (0.091KG); FREQ 149.528; TRANSMITTER #112559; TRANSPONDER PLACED IN LEFT INGUINAL; TRANSMITTER ON 1ST VERTEBRAL
3,I,2005,headstart,headstart,2008,17-Jun-08,Yes,trap,E,E24,,292,108,J,,Annuli measured for growth rate.  Fat and healthy!; GREEN PAINT ON CARAPACE
3,I,2005,headstart,headstart,2010,12-Sep-10,Yes,trap,E,E25,,1001,179,S,,"Carapace--green paint on center of the 5th vertebral, freshened marks; 2005 YOY;"
7,I,2005,headstart,headstart,2006,13-Jun-06,RELEASE,release,E,N/A,new,82,75,J,,FROM GLYNN MIDDLE SCHOOL; HATCHED FALL 2005; RELEASED WITH TRANS #112555; FREQ 149.449;
7,I,2005,headstart,headstart,2008,12-Jun-08,Yes,trap,E,E25,,304,122,J,,"Annuli measured for growth rate.  Appears healthy!  PCV=25%, TS=1.9"
7,I,2005,headstart,headstart,2010,22-Jul-10,yes,trap,E,E38,,960,170,S,,mild keratin wear ON PLASTRON
7,I,2005,headstart,headstart,2012,19-Jun-12,yes,trap,E,E78,,1592,217,S,,"Transmitter attached: frequency 165.551, transmitter # 175793, iButton attached 21 June 2012. Weight with transmitter is 1.565kg."
7,I,2005,headstart,headstart,2012,29-Sep-12,yes,trap,E,E78,,1897,,S,,"Cattracker #2 added (start oct 1, 2012). Old iButton failed; replaced with new iButton # E10000002E049B21 (set to start 15 Oct 2012, every 120 minutes). Release 30 Sept 2012 @16:30."
7,I,2005,headstart,headstart,2013,24-May-13,yes,trap,E,E78,na,1780,230,S,,"Very hard to make age estimate at this point. New transmitter attached 174313 freq 165.216, best at .215. New ibutton attaches 800000002E2AF021."
